Category Name,Parent Category Name
Paper Materials and Products,Root
Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,Root
Tools and General Machinery,Root
Structures and Building and Construction and Manufacturing Components and Supplies,Root
Electrical Systems and Lighting and Components and Accessories and Supplies,Root
Distribution and Conditioning Systems and Equipment and Components,Root
Laboratory and Measuring and Observing and Testing Equipment,Root
Medical Equipment and Accessories and Supplies,Root
Information Technology Broadcasting and Telecommunications,Root
Office Equipment and Accessories and Supplies,Root
Printing and Photographic and Audio and Visual Equipment and Supplies,Root
Cleaning Equipment and Supplies,Root
Food Beverage and Tobacco Products,Root
Drugs and Pharmaceutical Products,Root
Domestic Appliances and Supplies and Consumer Electronic Products,Root
Apparel and Luggage and Personal Care Products,Root
Published Products,Root
Furniture and Furnishings,Root
Paper materials,Paper Materials and Products
Paper products,Paper Materials and Products
Industrial use papers,Paper Materials and Products
Material handling machinery and equipment,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
Containers and storage,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
Packaging materials,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
Industrial refrigeration,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
Packing supplies,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
Hand tools,Tools and General Machinery
Hydraulic machinery and equipment,Tools and General Machinery
Pneumatic machinery and equipment,Tools and General Machinery
Automotive specialty tools,Tools and General Machinery
Part cleaning machinery and accessories,Tools and General Machinery
Structural components and basic shapes,Structures and Building and Construction and Manufacturing Components and Supplies
Concrete and cement and plaster,Structures and Building and Construction and Manufacturing Components and Supplies
Roads and landscape,Structures and Building and Construction and Manufacturing Components and Supplies
Structural building products,Structures and Building and Construction and Manufacturing Components and Supplies
Insulation,Structures and Building and Construction and Manufacturing Components and Supplies
Exterior finishing materials,Structures and Building and Construction and Manufacturing Components and Supplies
Interior finishing materials,Structures and Building and Construction and Manufacturing Components and Supplies
Doors and windows and glass,Structures and Building and Construction and Manufacturing Components and Supplies
Plumbing fixtures,Structures and Building and Construction and Manufacturing Components and Supplies
Construction and maintenance support equipment,Structures and Building and Construction and Manufacturing Components and Supplies
Portable Structure Building Components,Structures and Building and Construction and Manufacturing Components and Supplies
Underground mining structures and materials,Structures and Building and Construction and Manufacturing Components and Supplies
Structural materials,Structures and Building and Construction and Manufacturing Components and Supplies
Lamps and lightbulbs and lamp components,Electrical Systems and Lighting and Components and Accessories and Supplies
Lighting Fixtures and Accessories,Electrical Systems and Lighting and Components and Accessories and Supplies
Electrical equipment and components and supplies,Electrical Systems and Lighting and Components and Accessories and Supplies
Electrical wire management devices and accessories and supplies,Electrical Systems and Lighting and Components and Accessories and Supplies
Heating and ventilation and air circulation,Distribution and Conditioning Systems and Equipment and Components
Fluid and gas distribution,Distribution and Conditioning Systems and Equipment and Components
Industrial pumps and compressors,Distribution and Conditioning Systems and Equipment and Components
Industrial filtering and purification,Distribution and Conditioning Systems and Equipment and Components
Pipe piping and pipe fittings,Distribution and Conditioning Systems and Equipment and Components
Tubes tubing and tube fittings,Distribution and Conditioning Systems and Equipment and Components
Laboratory and scientific equipment,Laboratory and Measuring and Observing and Testing Equipment
Measuring and observing and testing instruments,Laboratory and Measuring and Observing and Testing Equipment
Laboratory supplies and fixtures,Laboratory and Measuring and Observing and Testing Equipment
"Blood manufacturing and hematology systems, components and supplies",Laboratory and Measuring and Observing and Testing Equipment
"Clinical chemistry testing systems, components, and supplies",Laboratory and Measuring and Observing and Testing Equipment
"Clinical laboratory and toxicology testing systems, components, and supplies",Laboratory and Measuring and Observing and Testing Equipment
Cellular culture products,Laboratory and Measuring and Observing and Testing Equipment
Diagnostic and microbiological devices,Laboratory and Measuring and Observing and Testing Equipment
"Immunological testing systems, components, and supplies",Laboratory and Measuring and Observing and Testing Equipment
Pathology instrumentation and accessories,Laboratory and Measuring and Observing and Testing Equipment
"Serological and specimen preparation test systems, components and supplies",Laboratory and Measuring and Observing and Testing Equipment
Veterinary equipment and supplies,Medical Equipment and Accessories and Supplies
Medical apparel and textiles,Medical Equipment and Accessories and Supplies
Patient care and treatment products and supplies,Medical Equipment and Accessories and Supplies
Dental equipment and supplies,Medical Equipment and Accessories and Supplies
Dialysis equipment and supplies,Medical Equipment and Accessories and Supplies
Mobile medical services products,Medical Equipment and Accessories and Supplies
Patient exam and monitoring products,Medical Equipment and Accessories and Supplies
Medical facility products,Medical Equipment and Accessories and Supplies
Medical diagnostic imaging and nuclear medicine products,Medical Equipment and Accessories and Supplies
Independent living aids for the physically challenged,Medical Equipment and Accessories and Supplies
Intravenous and arterial administration products,Medical Equipment and Accessories and Supplies
Clinical nutrition,Medical Equipment and Accessories and Supplies
Orthopedic and prosthetic and sports medicine products,Medical Equipment and Accessories and Supplies
Physical and occupational therapy and rehabilitation products,Medical Equipment and Accessories and Supplies
Postmortem and mortuary equipment and supplies,Medical Equipment and Accessories and Supplies
Respiratory and anesthesia and resuscitation products,Medical Equipment and Accessories and Supplies
Medical cleaning and sterilization products,Medical Equipment and Accessories and Supplies
Surgical products,Medical Equipment and Accessories and Supplies
Medical training and education supplies,Medical Equipment and Accessories and Supplies
Wound care products,Medical Equipment and Accessories and Supplies
Orthopedic surgical implants,Medical Equipment and Accessories and Supplies
Communications Devices and Accessories,Information Technology Broadcasting and Telecommunications
Components for information technology or broadcasting or telecommunications,Information Technology Broadcasting and Telecommunications
Computer Equipment and Accessories,Information Technology Broadcasting and Telecommunications
Data Voice or Multimedia Network Equipment or Platforms and Accessories,Information Technology Broadcasting and Telecommunications
Software,Information Technology Broadcasting and Telecommunications
Office machines and their supplies and accessories,Office Equipment and Accessories and Supplies
Office and desk accessories,Office Equipment and Accessories and Supplies
Office supplies,Office Equipment and Accessories and Supplies
Printing and publishing equipment,Printing and Photographic and Audio and Visual Equipment and Supplies
Audio and visual presentation and composing equipment,Printing and Photographic and Audio and Visual Equipment and Supplies
Photographic or filming or video equipment,Printing and Photographic and Audio and Visual Equipment and Supplies
Photographic and recording media,Printing and Photographic and Audio and Visual Equipment and Supplies
Photographic filmmaking supplies,Printing and Photographic and Audio and Visual Equipment and Supplies
Water and wastewater treatment supply and disposal,Cleaning Equipment and Supplies
Industrial laundry and dry cleaning equipment,Cleaning Equipment and Supplies
Janitorial equipment,Cleaning Equipment and Supplies
Cleaning and janitorial supplies,Cleaning Equipment and Supplies
Toxic and hazardous waste cleanup products,Cleaning Equipment and Supplies
Nuts and seeds,Food Beverage and Tobacco Products
Meat and poultry products,Food Beverage and Tobacco Products
Seafood,Food Beverage and Tobacco Products
Dairy products and eggs,Food Beverage and Tobacco Products
Edible oils and fats,Food Beverage and Tobacco Products
Chocolate and sugars and sweeteners and confectionary products,Food Beverage and Tobacco Products
Seasonings and preservatives,Food Beverage and Tobacco Products
Bread and bakery products,Food Beverage and Tobacco Products
Prepared and preserved foods,Food Beverage and Tobacco Products
Beverages,Food Beverage and Tobacco Products
Tobacco and smoking products and substitutes,Food Beverage and Tobacco Products
Cereal and pulse products,Food Beverage and Tobacco Products
Fresh fruits,Food Beverage and Tobacco Products
Organic fresh fruits,Food Beverage and Tobacco Products
Dried fruit,Food Beverage and Tobacco Products
Dried organic fruit,Food Beverage and Tobacco Products
Frozen fruit,Food Beverage and Tobacco Products
Frozen organic fruit,Food Beverage and Tobacco Products
Canned or jarred fruit,Food Beverage and Tobacco Products
Canned or jarred organic fruit,Food Beverage and Tobacco Products
Fresh fruit purees,Food Beverage and Tobacco Products
Organic fresh fruit purees,Food Beverage and Tobacco Products
Fresh vegetables,Food Beverage and Tobacco Products
Organic fresh vegetables,Food Beverage and Tobacco Products
Dried vegetables,Food Beverage and Tobacco Products
Dried organic vegetables,Food Beverage and Tobacco Products
Frozen vegetables,Food Beverage and Tobacco Products
Frozen organic vegetables,Food Beverage and Tobacco Products
Canned or jarred vegetables,Food Beverage and Tobacco Products
Canned or jarred organic vegetables,Food Beverage and Tobacco Products
Fresh vegetable purees,Food Beverage and Tobacco Products
Organic fresh vegetable purees,Food Beverage and Tobacco Products
Nutritional supplements,Food Beverage and Tobacco Products
Non GMO fresh fruits,Food Beverage and Tobacco Products
Dried non GMO fruits,Food Beverage and Tobacco Products
Frozen non GMO fruits,Food Beverage and Tobacco Products
Canned or jarred non GMO fruits,Food Beverage and Tobacco Products
Non GMO fresh fruit purees,Food Beverage and Tobacco Products
Non GMO fresh vegetables,Food Beverage and Tobacco Products
Dried Non GMO vegetables,Food Beverage and Tobacco Products
Frozen Non GMO vegetables,Food Beverage and Tobacco Products
Canned or jarred Non GMO vegetables,Food Beverage and Tobacco Products
Non GMO fresh vegetable purees,Food Beverage and Tobacco Products
Amebicides and trichomonacides and antiprotozoals,Drugs and Pharmaceutical Products
Antineoplastic agents,Drugs and Pharmaceutical Products
Antiarrythmics and antianginals and cardioplegics and drugs for heart failure,Drugs and Pharmaceutical Products
Hematolic drugs,Drugs and Pharmaceutical Products
Central nervous system drugs,Drugs and Pharmaceutical Products
Autonomic nervous system drugs,Drugs and Pharmaceutical Products
Drugs affecting the respiratory tract,Drugs and Pharmaceutical Products
Drugs affecting the gastrointestinal system,Drugs and Pharmaceutical Products
Hormones and hormone antagonists,Drugs and Pharmaceutical Products
Agents affecting water and electrolytes,Drugs and Pharmaceutical Products
