Category Name,Parent Category Name
Access group antibiotics,Root
Adrenal hormones and synthetic substitutes,Root
American trypanosomiasis,Root
Androgens,Root
Antiallergics and medicines used in anaphylaxis,Root
Antiamoebic and antigiardiasis medicines,Root
Antianaemia medicines,Root
Antianginal medicines,Root
Antiarrhythmic medicines,Root
Antiasthmatic and medicines for chronic obstructive pulmonary disease,Root
Anticonvulsants/antiepileptics,Root
Antidotes and other substances used in poisonings,Root
Antiemetic medicines,Root
Antifilarials,Root
Antifungal medicines,Root
Antifungal medicines (topical),Dermatological medicines (topical)
Antiherpes medicines,Root
Antihypertensive medicines,Root
Anti-infective agents,Ophthalmological preparations
Anti-infective medicines,Dermatological medicines (topical)
Anti-inflammatory and antipruritic medicines,Dermatological medicines (topical)
Anti-inflammatory medicines,Root
Antileishmaniasis medicines,Root
Antileprosy medicines,Root
Antimalarial medicines,Root
Antimigraine medicines,Root
Antioxytocics (tocolytics),Root
Antiparkinsonism medicines,Root
Anti-platelet medicines,Root
Antipneumocystosis and antitoxoplasmosis medicines,Root
Antiretrovirals,Root
Antischistosomals and other antitrematode medicines,Root
Antiseptics,Root
Antituberculosis medicines,Root
Antiulcer medicines,Root
Anti-vascular endothelial growth factor (VEGF) preparations,Ophthalmological preparations
Barrier methods,Root
Blood and blood components,Root
Blood coagulation factors,Root
Cytotoxic medicines,Root
Dental preparations,Root
Dermatological medicines (topical),Root
Diagnostic agents,Root
Disease-modifying anti-rheumatic drugs (DMARDs),Root
Disinfectants,Root
Diuretics,Root
"Ear, nose and throat medicines [c]",Root
Fixed-dose combinations of antiretrovirals,Root
For chemoprevention,Antimalarial medicines
For curative treatment,Antimalarial medicines
For treatment of acute attack,Antimigraine medicines
General anaesthetics and oxygen,Root
Hormones and antihormones,Root
Human immunoglobulins,Root
Immunologicals,Root
Immunomodulators,Root
Immunomodulators for non-malignant disease,Root
Implantable contraceptives,Root
Inhalational medicines,General anaesthetics and oxygen
Injectable hormonal contraceptives,Root
Injectable medicines,General anaesthetics and oxygen
Insulins,Root
Integrase inhibitors,Antiretrovirals
Intestinal anthelminthics,Root
Intrauterine devices,Root
Intravaginal contraceptives,Root
Juvenile joint diseases,Root
Lipid-lowering agents,Root
Local anaesthetics,Root
Local anaesthetics (eye),Ophthalmological preparations
Medicines administered to the neonate [c],Root
Medicines affecting coagulation,Root
Medicines affecting skin differentiation and proliferation,Dermatological medicines (topical)
Medicines for anxiety disorders ,Root
Medicines for diarrhoea,Root
Medicines for disorders due to psychoactive substance use,Root
Medicines for hepatitis C,Root
Medicines for hypoglycaemia,Root
Medicines for other common symptoms in palliative care,Root
Medicines for prevention of HIV-related opportunistic infections,Root
Medicines for the treatment of 1st stage African trypanosomiasis,Root
Medicines for the treatment of 2nd stage African trypanosomiasis,Root
Medicines used for obsessive compulsive disorders,Root
Medicines used in bipolar disorders,Root
Medicines used in depressive disorders,Root
Medicines used in heart failure,Root
Medicines used in psychotic disorders,Root
Medicines used to treat gout,Root
Miotics and antiglaucoma medicines,Ophthalmological preparations
Miscellaneous,"Solutions correcting water, electrolyte and acid-base disturbances"
Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,Root
Mydriatics,Ophthalmological preparations
Non-nucleoside reverse transcriptase inhibitors,Antiretrovirals
Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),Root
Non-pangenotypic direct-acting antiviral combinations,Medicines for hepatitis C
Non-specific,Antidotes and other substances used in poisonings
Nucleoside/Nucleotide reverse transcriptase inhibitors,Antiretrovirals
Ophthalmic medicines,Diagnostic agents
Ophthalmological preparations,Root
Opioid analgesics,Root
Oral,"Solutions correcting water, electrolyte and acid-base disturbances"
Oral hormonal contraceptives,Root
Oral hypoglycaemic agents,Root
Other antivirals,Root
Other medicines for haemoglobinopathies,Root
Ovulation inducers,Root
Pangenotypic direct-acting antiviral combinations,Medicines for hepatitis C
Parenteral,"Solutions correcting water, electrolyte and acid-base disturbances"
Peritoneal dialysis solution,Root
Plasma substitutes,Root
Progestogens,Root
Protease inhibitors,Antiretrovirals
Radiocontrast media,Diagnostic agents
Recommendations for all immunization programmes,Root
Recommendations for certain regions,Root
Recommendations for immunization programmes with certain characteristics,Root
Recommendations for some high-risk populations,Root
Reserve group antibiotics,Root
Scabicides and pediculicides,Dermatological medicines (topical)
"Sera, immunoglobulins and monoclonal antibodies",Immunologicals
"Solutions correcting water, electrolyte and acid-base disturbances",Root
Specific,Antidotes and other substances used in poisonings
Supportive medicines,Root
Targeted therapies,Root
Thrombolytic medicines,Root
Thyroid hormones and antithyroid medicines,Root
Uterotonics,Root
Vitamins and minerals,Root
Watch group antibiotics,Root
