Id,Active,ProductCode,ProductType,Name,ProductFamily,Category,GLAccount,Description,UnitOfMeasure,Tags,UnitCost,LotAndExpiryControl,ColdChain,ControlledSubstance,HazardousMaterial,Reconditioned,Manufacturer,BrandName,ManufacturerCode,ManufacturerName,Vendor,VendorCode,VendorName,UPC,NDC,Created,Updated
,TRUE,,Default,Abacavir 120mg (as sulfate) + Lamivudine 60mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Abacavir tablet as sulfate, 300mg",,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Abiraterone 250mg,,Hormones and antihormones,,,Each,Malignant neoplasms of prostate,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Abiraterone 500mg,,Hormones and antihormones,,,Each,Malignant neoplasms of prostate,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Acetazolamide 250mg,,Miotics and antiglaucoma medicines,,,Each,Primary open-angle glaucoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetic acid ear drops, 2% in alcohol",,"Ear, nose and throat medicines [c]",,,Each,Infectious diseases of external ear,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetylcysteine injection, 200mg/mL in 10mL ampoule",,Specific,,,Each,"Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetylsalicylic acid tablet, 100mg",,Anti-platelet medicines,,,Each,Cerebral ischaemic stroke,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetylsalicylic acid tablet, 300mg",,For treatment of acute attack,,,Each,Migraine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetylsalicylic acid tablet, 500mg",,For treatment of acute attack,,,Each,Acute myocardial infarction,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetylsalicylic rectal suppository, 150mg",,Juvenile joint diseases,,,Each,Mucocutaneous lymph node syndrome,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Acetylsalicylic rectal suppository, 50mg",,Juvenile joint diseases,,,Each,Acute rheumatic fever without mention of heart involvement,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Aciclovir 3% eye ointment,,Anti-infective agents,,,Each,Herpes simplex keratitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Aciclovir injection, 250mg powder in vial",,Antiherpes medicines,,,Each,Zoster,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Aciclovir oral solution, 200mg/5mL vial",,Antiherpes medicines,,,Each,Varicella,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Aciclovir tablet, 200mg",,Antiherpes medicines,,,Each,Herpes simplex infections,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Aclidinium inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Chronic obstructive pulmonary disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Activated charcoal powder,,Non-specific,,,Each,"Unspecified injury, poisoning or certain other consequences of external causes",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Adalimumab injection, 40mg/0.4mL",,Immunomodulators for non-malignant disease,,,Each,Crohn disease site,,TRUE,,,,,,,,,,,,,,,
