Product code,Product name,Lot number,Expiration date,Bin location,OB QOH,Physical QOH,Comment
QX039,Morphine 10mg immediate release tablet,37627,31/01/2025,RACK1-SHELF1,,3000,
TS894,"Morphine injection, 10mg/mL in 1mL ampoule",00392/174,30/06/2025,RACK1-SHELF1,,500,
CR388,Lamivudine 150mg + nevirapine 200mg + zidovudine 300mg tablet,3940,30/09/2023,RACK1-SHELF1,,0,
TZ835,Lamivudine 150mg + zidovudine 300mg tablet,003P218,31/01/2023,RACK1-SHELF1,,3800,
CM871,Lamivudine 150mg tablet,4041283,30/11/2025,RACK1-SHELF1,,3040,
MC017,Lamivudine 30mg + nevirapine 50mg + zidovudine 60mg tablet,4244288,30/11/2025,COLD ROOM,,2280,
GM080,"Bleomycin injection, 15mg",6758,30/04/2024,COLD ROOM,,100,
EK670,"Vincristine injection, 1mL",7211,31/05/2024,RACK1-SHELF2,,88,
QX419,Isoniazid 300mg + rifapentine 300mg tablet,7214,31/05/2024,RACK1-SHELF2,,8820,
XM026,Isoniazid 300mg tablet,72668,29/02/2024,RACK1-SHELF2,,27440,
DA693,Isoniazid 50mg + pyrazinamide 150mg + rifampicin 75mg tablet,730,30/09/2023,RACK1-SHELF2,,9800,
RV624,Isoniazid 50mg + rifampicin 75mg tablet,567388,31/08/2024,RACK1-SHELF2,,9800,
AX738,"Adapter, USB-C male to HDMI + VGA female",,,RACK2-SHELF1,,15,
GK233,"Adapter, USB-C Male to HDMI Female",,,RACK2-SHELF1,,15,
QA069,"Battery, for canon LP-E6N",,,RACK2-SHELF1,,4,
JG794,"Camera, 600EXII-RT, Canon",,,RACK2-SHELF1,,1,
PU084,"Camera, Canon, EOS 80D, with 18-55mm lens, with accessories",,,RACK2-SHELF1,,0,
SJ730,"Case, Tablet, Samsung Galaxy, 10.5in",,,RACK2-SHELF1,,50,
GX785,"Cellphone, Unlocked, 8GB, BLU 5.2",,,RACK2-SHELF2,,3,
UB995,"Charger, for Lenovo Thinkpad T400 series Laptop",,,RACK2-SHELF2,,10,
MM489,"Charger, Laptop, Lenovo, TP60/SL500",,,RACK2-SHELF2,,10,
PU011,"Computer, Desktop, Dell Optiplex 390 SFF",,,RACK2-SHELF2,,0,
ET383,"Computer, Desktop, ThinkCentre M920z",,,RACK2-SHELF2,,0,
ZZ113,"Laptop, Dell Inspiron, T8TJG",,,RACK2-SHELF2,,0,
ZC462,"Laptop, E490, ThinkPad",,,RACK2-SHELF2,,2,
QD991,"Printer cartridge, HP 122A/Q3960A, Black",,,RACK2-SHELF3,,5,
GH964,"Printer cartridge, HP 122A/Q3961A, Cyan",,,RACK2-SHELF3,,5,
DP854,"Printer cartridge, HP 122A/Q3962A, Yellow",,,RACK2-SHELF3,,5,
GA472,"Printer cartridge, HP 122A/Q3963A, Magenta",,,RACK2-SHELF3,,5,
UM228,"Printer, Multi-function, Scanner, HP MFP 426A",,,RACK2-SHELF3,,0,
VX576,"Printer, Multifunction, Color, HP Inkjet PageWide Pro 477dw",,,RACK2-SHELF3,,0,
XJ173,"Batteries, Non Rechargeable, AA",,,RACK3-SHELF1,,480,
RU651,"Batteries, Non Rechargeable, AAA",,,RACK3-SHELF1,,96,
XJ252,"Binder clips, 19mm",,,RACK3-SHELF1,,50,
RS138,"Binder clips, 25mm",,,RACK3-SHELF1,,0,
MV069,"Binder clips, 32mm",,,RACK3-SHELF1,,0,
FF240,"Envelope, A3, Manila",,,RACK3-SHELF2,,500,
DD108,"Envelope, A3, White",,,RACK3-SHELF2,,500,
GT068,Staples 23/13 pack of 1000,,,RACK3-SHELF2,,50,
PH950,Staples 23/17 pack of 1000,,,RACK3-SHELF2,,75,
CG819,"File cabinet, Lateral, 5-drawer",,,RACK3-SHELF2,,2,
UQ102,"File cabinet, Lateral, 6-drawer",,,RACK3-SHELF2,,0,
MR962,"Stool, rolling",,,RACK3-SHELF3,,2,
SZ449,"Desk, Office, Wooden or metal",,,RACK3-SHELF3,,1,
MG983,"Chair, Office, Rolling",,,RACK3-SHELF3,,3,
RZ479,"Chair, Plastic",,,RACK3-SHELF3,,0,
HP196,"Beaker, Graduated, Borosilicate glass, 100mL",,,RACK1-SHELF3,,1,
MY523,"Beaker, Graduated, Borosilicate glass, 250mL",,,RACK1-SHELF3,,1,
BX996,"Beaker, Graduated, Borosilicate glass, 400mL",,,RACK1-SHELF3,,1,
BF640,"Coat, Laboratory, Large, Unisex",,,RACK1-SHELF3,,2,
QS823,"Coat, Laboratory, Medium, Unisex",,,RACK1-SHELF3,,2,
SJ489,"Coat, Laboratory, Small, Unisex",,,RACK1-SHELF3,,0,
PK000,"Ethanol (ethyl alcohol), 95%, reagent grade, 16oz",,,RACK1-SHELF3,,16,
HG966,"Tube, Blood collection, K2 EDTA, Lavender top, Plastic, 4mL",119247,31/08/2024,RACK1-SHELF3,,3000,
DJ064,"Tube, Blood collection, K2 EDTA, Whole blood, Lavender, 2mL (pediatric)",118184,30/06/2023,RACK1-SHELF3,,5000,
TN940,"Tube, Blood collection, Serum, Red, Plastic, 3mL (pediatric)",118286,30/09/2023,RACK1-SHELF3,,0,
KY133,"Tube, Blood collection, Serum, Red, Plastic, 4mL",118293,30/09/2023,RACK1-SHELF3,,0,
