id,name,active,locationType,organization,parentLocation,locationNumber,locationGroup,streetAddress,streetAddress2,city,stateOrProvince,postalCode,country,description
,Central Warehouse (NYC),TRUE,Depot,My Organization,,NYCW,NorthEast,400 Gentle Lane,Suite 6,New York,New York,30456,USA,
,Boston Warehouse,TRUE,Depot,My Organization,,BOSW,NorthEast,300 Apple St,,Boston,MA,54888,USA,
,Chicago Warehouse,TRUE,Depot,My Organization,,CHIW,MidWest,150 Hatfield ct,Doors 2-4,Chicago,IL,75898,USA,
,Toyota USA,TRUE,Supplier,Toyota USA,,TOYOTA,,30 West Hybrid Place,,New York,New York,30456,USA,
,Amazon.com,TRUE,Supplier,Amazon.com,,AMAZON,,,,,,,,
,Grainger,TRUE,Supplier,Grainger,,GRAINGER,,,,,,,,
,Medical Items Depot,TRUE,Supplier,Medical Items Depot,,MEDICAL,,45 Florence Rd,,Milwauke,Wisconsin,54765,USA,
,CDW,TRUE,Supplier,CDW,,CDW,,858 W 52nd St,,Washington DC,,43457,USA,
,NYC Office,TRUE,Dispensary,My Organization,,NYCO,NorthEast,,,,,,,
,Boston Office,TRUE,Dispensary,My Organization,,BOSO,NorthEast,,,,,,,
,Providence Office,TRUE,Dispensary,My Organization,,PROVO,NorthEast,,,,,,,
,Portland Office,TRUE,Dispensary,My Organization,,PORTLO,NorthEast,,,,,,,
,Portsmouth Office,TRUE,Dispensary,My Organization,,PORTSO,NorthEast,,,,,,,
,Newark Office,TRUE,Dispensary,My Organization,,NEWO,NorthEast,,,,,,,
,Chicago Office,TRUE,Dispensary,My Organization,,CHICO,MidWest,,,,,,,
,Cedar Rapids Office,TRUE,Dispensary,My Organization,,CEDO,MidWest,,,,,,,
,Des Moines Office,TRUE,Dispensary,My Organization,,DESO,MidWest,,,,,,,
,Ann Arbor Office,TRUE,Dispensary,My Organization,,ANNO,MidWest,,,,,,,
