Product code,Product name,Lot number,Expiration date,Bin location,OB QOH,Physical QOH,Comment
QX039,Morphine 10mg immediate release tablet,37627,31/01/2025,RM1-RACK1-SHELF1,,100000,
TS894,"Morphine injection, 10mg/mL in 1mL ampoule",00392/174,30/06/2025,RM1-RACK1-SHELF1,,2000,
CR388,Lamivudine 150mg + nevirapine 200mg + zidovudine 300mg tablet,3940,30/09/2023,RM1-RACK1-SHELF1,,0,
TZ835,Lamivudine 150mg + zidovudine 300mg tablet,003P218,31/01/2023,RM1-RACK1-SHELF1,,7600,
CM871,Lamivudine 150mg tablet,4041283,30/11/2025,RM1-RACK1-SHELF1,,7296,
MC017,Lamivudine 30mg + nevirapine 50mg + zidovudine 60mg tablet,4244288,30/11/2025,RM1-RACK1-SHELF1,,3420,
GM080,"Bleomycin injection, 15mg",6758,30/04/2024,COLD ROOM,,467,
EK670,"Vincristine injection, 1mL",7211,31/05/2024,COLD ROOM,,768,
QX419,Isoniazid 300mg + rifapentine 300mg tablet,7214,31/05/2024,RM1-RACK1-SHELF2,,19600,
XM026,Isoniazid 300mg tablet,72668,29/02/2024,RM1-RACK1-SHELF2,,34300,
DA693,Isoniazid 50mg + pyrazinamide 150mg + rifampicin 75mg tablet,730,30/09/2023,RM1-RACK1-SHELF2,,0,
RV624,Isoniazid 50mg + rifampicin 75mg tablet,0898984,31/12/2025,RM1-RACK1-SHELF2,,9800,
AX738,"Adapter, USB-C male to HDMI + VGA female",,,RM1-RACK3-SHELF1,,30,
GK233,"Adapter, USB-C Male to HDMI Female",,,RM1-RACK3-SHELF1,,10,
QA069,"Battery, for canon LP-E6N",,,RM1-RACK3-SHELF1,,4,
JG794,"Camera, 600EXII-RT, Canon",,,RM1-RACK3-SHELF2,,2,
PU084,"Camera, Canon, EOS 80D, with 18-55mm lens, with accessories",,,RM1-RACK3-SHELF2,,3,
SJ730,"Case, Tablet, Samsung Galaxy, 10.5in",,,RM1-RACK3-SHELF1,,50,
GX785,"Cellphone, Unlocked, 8GB, BLU 5.2",,,RM1-RACK3-SHELF1,,10,
UB995,"Charger, for Lenovo Thinkpad T400 series Laptop",,,RM1-RACK3-SHELF1,,25,
MM489,"Charger, Laptop, Lenovo, TP60/SL500",,,RM1-RACK3-SHELF1,,33,
PU011,"Computer, Desktop, Dell Optiplex 390 SFF",,,RM1-RACK3-SHELF2,,1,
ET383,"Computer, Desktop, ThinkCentre M920z",,,RM1-RACK3-SHELF2,,2,
ZZ113,"Laptop, Dell Inspiron, T8TJG",,,RM1-RACK3-SHELF2,,5,
ZC462,"Laptop, E490, ThinkPad",,,RM1-RACK3-SHELF3,,8,
QD991,"Printer cartridge, HP 122A/Q3960A, Black",,,RM1-RACK3-SHELF3,,10,
GH964,"Printer cartridge, HP 122A/Q3961A, Cyan",,,RM1-RACK3-SHELF3,,0,
DP854,"Printer cartridge, HP 122A/Q3962A, Yellow",,,RM1-RACK3-SHELF3,,20,
GA472,"Printer cartridge, HP 122A/Q3963A, Magenta",,,RM1-RACK3-SHELF3,,15,
UM228,"Printer, Multi-function, Scanner, HP MFP 426A",,,RM2-RACK1-SHELF1,,0,
VX576,"Printer, Multifunction, Color, HP Inkjet PageWide Pro 477dw",,,RM2-RACK1-SHELF1,,1,
XJ173,"Batteries, Non Rechargeable, AA",,,RM2-RACK1-SHELF1,,0,
